Designator,Mid X,Mid Y,Rotation,Layer
J303,136.05,-76.8,0.0,top
RV204,182.7,-87.05,90.0,top
RV203,182.7,-109.3,90.0,top
U203,168.2,-92.0,0.0,top
C105,112.95,-94.32,0.0,top
R117,129.82,-116.39,0.0,top
U204,168.12,-98.99,0.0,top
Q101,112.25,-97.39,180.0,top
C103,119.73,-87.38,-90.0,top
C113,131.6,-100.1,180.0,top
R205,172.6,-104.4,-90.0,top
RV206,182.7,-92.58,90.0,top
C101,111.51,-81.32,0.0,top
R213,150.1,-87.5,90.0,top
R106,139.2,-116.6,0.0,top
R202,152.0,-95.2,0.0,top
D104,142.92,-115.7225,-90.0,top
R111,142.235,-97.12,180.0,top
C109,142.235,-104.31,0.0,top
R107,146.12,-112.23,-90.0,top
D105,137.43,-93.53,180.0,top
R212,152.35,-86.18,180.0,top
U202,168.26,-84.97,0.0,top
D101,114.18,-89.48,0.0,top
C102,105.75,-106.3,-90.0,top
RV202,182.7,-81.49,90.0,top
R203,176.5,-100.5,-90.0,top
C204,142.6,-84.7,180.0,top
J101,117.87,-104.14,0.0,top
R104,104.57,-87.93,-90.0,top
C104,125.34,-82.6,0.0,top
R207,153.6,-96.77,-90.0,top
Q201,147.3,-91.1,-90.0,top
Q102,125.3,-89.5,-90.0,top
R204,152.0,-96.31,0.0,top
C201,175.2,-90.3,0.0,top
C202,161.4,-97.6,180.0,top
R105,104.55,-83.83,90.0,top
R201,158.67,-95.33,0.0,top
L101,115.04,-85.23,0.0,top
R116,134.77,-98.77,-90.0,top
U101,108.44,-86.19,-90.0,top
C106,125.42,-93.41,180.0,top
R113,139.28,-108.89,90.0,top
R210,171.0,-104.5,-90.0,top
R110,142.235,-100.52,180.0,top
R206,154.1,-95.17,180.0,top
R103,105.32,-81.26,0.0,top
C110,140.97,-108.88,-90.0,top
L103,130.87,-109.68,180.0,top
R115,137.63,-108.89,90.0,top
D103,149.62,-115.8225,-90.0,top
R112,142.235,-102.63,180.0,top
C107,142.235,-98.85,0.0,top
RV201,182.7,-103.8,90.0,top
SW201,164.6,-112.1,-90.0,top
C203,137.2,-89.9,180.0,top
L102,131.17,-91.59,0.0,top
C115,129.59,-114.41,180.0,top
C114,132.37,-97.98,180.0,top
C112,136.03,-108.89,-90.0,top
R101,104.53,-91.07,-90.0,top
R208,174.7,-83.3,180.0,top
F101,106.2,-97.8,-90.0,top
D102,146.2,-115.8,-90.0,top
C111,142.235,-106.05,0.0,top
D106,133.0,-115.2,-90.0,top
R214,169.2,-104.4,-90.0,top
R209,158.68,-86.34,0.0,top
C108,142.455,-95.23,0.0,top
R211,158.28,-84.76,-90.0,top
U102,136.74,-103.61,-90.0,top
U201,155.46,-90.79,0.0,top
R108,149.6,-112.1725,-90.0,top
RV205,182.7,-98.15,90.0,top
J302,154.24,-102.2,-90.0,bottom
J301,166.895,-102.25,-90.0,bottom
